file,mean,std,max,min
JS00001.mat,19.511733333333332,317.3812835203039,2752,-1649
JS00002.mat,4.972016666666667,142.17580302897204,1508,-1596
JS00004.mat,-8.4004,202.0383536522377,2167,-1942
JS00005.mat,-4.695616666666667,349.08630895637594,2699,-2538
JS00006.mat,-2.071616666666667,137.26748857997313,1352,-805
JS00007.mat,1.3297666666666668,242.98747447954094,2430,-3026
JS00008.mat,2.5429666666666666,168.59614770371303,1864,-766
JS00009.mat,5.41615,184.00707840328002,1723,-1440
JS00010.mat,-14.718666666666667,185.99501879948886,1864,-1928
JS00011.mat,-9.589633333333333,315.1724553307267,4577,-1752
JS00012.mat,8.477983333333333,253.03287944836944,2679,-1479
JS00013.mat,0.81865,219.718358955681,2118,-2011
JS00014.mat,9.789333333333333,306.8830783640933,3816,-1893
JS00015.mat,4.6432,122.57794755621148,1161,-1035
JS00016.mat,-9.255833333333333,139.10138167048842,1552,-1249
JS00017.mat,4.823466666666667,145.57255751909042,1205,-1347
JS00018.mat,-6.864566666666667,145.30770405526414,1200,-1035
JS00019.mat,0.3919166666666667,144.92231959913235,1571,-888
JS00020.mat,5.4035166666666665,212.94004208767245,2762,-1088
JS00021.mat,4.965966666666667,190.4211143975344,1518,-2059
JS00022.mat,37.50918333333333,220.35864346333165,3997,-2811
JS00023.mat,2.6159166666666667,217.86408063284102,2513,-1596
JS00024.mat,1.5756666666666668,195.48279764356647,1615,-1610
JS00025.mat,1.8894666666666666,694.9633388285424,2079,-6603
JS00026.mat,3.994266666666667,125.5259313201681,947,-956
JS00027.mat,5.467233333333334,159.49264097865316,2835,-1078
JS00029.mat,-18.574116666666665,199.95511839757037,1820,-1688
JS00030.mat,1.3916,224.44776092171944,2425,-3304
JS00031.mat,0.4525166666666667,186.32620600799302,1767,-1893
JS00032.mat,-0.4030166666666667,228.66941974729895,1913,-1781
JS00033.mat,6.7577,190.95569570987752,2381,-1440
JS00034.mat,0.9307333333333333,195.9459355761062,1781,-1630
JS00036.mat,-9.135683333333333,192.54037327281011,2216,-1693
JS00037.mat,3.654166666666667,154.19585002837212,1049,-1039
JS00038.mat,6.61255,269.21318089170677,2591,-1859
JS00039.mat,3.0156666666666667,156.15261259813178,1703,-1498
JS00040.mat,3.4766166666666667,229.83967953021744,2303,-2318
JS00041.mat,-1.5847333333333333,186.8174678313805,1825,-996
JS00042.mat,25.557083333333335,339.73515072993706,2128,-2952
JS00043.mat,-4.893066666666667,252.11248884561212,3709,-2011
JS00044.mat,-3.98175,305.8477334398129,4719,-1962
JS00045.mat,8.053083333333333,300.93101739794076,1405,-3118
JS00046.mat,-0.9371333333333334,257.89682862425605,1874,-1869
JS00047.mat,22.988933333333332,220.34649564764027,2352,-1757
JS00048.mat,1.1322,195.55677723658673,2250,-2328
JS00049.mat,-9.720383333333332,228.1169748861018,1503,-3972
JS00050.mat,-2.9669666666666665,183.77081272280125,2333,-1562
JS00051.mat,6.16865,203.02761135826862,2904,-1137
JS00052.mat,-4.3102,207.36692682929615,1513,-1527
JS00053.mat,2.235516666666667,120.75005430737104,1737,-766
JS00054.mat,6.8082,218.56770601523,2367,-1469
JS00055.mat,1.7629666666666666,168.64569067090198,1776,-1332
JS00056.mat,2.1895166666666666,230.54424492224132,3665,-2655
JS00057.mat,-20.43685,266.2639689833083,1932,-1684
JS00058.mat,3.85245,136.10766270002642,1752,-888
JS00059.mat,1.2606333333333333,163.67652072588854,1620,-1396
JS00060.mat,-0.41863333333333336,216.14898383475892,2416,-1342
JS00061.mat,7.10905,144.5364746056539,1405,-1308
JS00062.mat,6.32365,170.0591487316815,2045,-888
JS00063.mat,6.136783333333334,221.98733891895665,1430,-1615
JS00064.mat,2.51435,200.69703035689764,2704,-2089
JS00065.mat,4.619233333333334,193.90724745801936,2328,-971
JS00066.mat,3.61295,162.88372859895335,1591,-1332
JS00067.mat,0.5747333333333333,285.4881027554894,2747,-1976
JS00068.mat,-14.78115,234.53306857387403,2318,-1493
JS00069.mat,10.117483333333332,272.5200318282427,2167,-2728
JS00070.mat,18.246333333333332,315.17671221060874,2772,-1942
JS00071.mat,-6.249216666666666,231.95985200256757,2904,-1337
JS00072.mat,5.446816666666667,172.94948888292902,1781,-1347
JS00073.mat,-5.529916666666667,242.8829807506619,3148,-2264
JS00074.mat,-6.369566666666667,304.0651471101967,3172,-2367
JS00075.mat,-5.1114,208.04580174416722,1698,-1898
JS00076.mat,13.449816666666667,313.12006623918734,1591,-1752
JS00077.mat,3.6423,218.1052944887935,3406,-1147
JS00078.mat,10.33375,314.7853677681628,1854,-3045
JS00079.mat,6.305016666666667,195.3601671652465,1327,-2250
JS00080.mat,0.3621,228.18459438998798,1742,-2079
JS00081.mat,4.996666666666667,263.5559448938477,1625,-2059
JS00082.mat,7.0593,166.05390686012177,1435,-1635
JS00083.mat,0.4738,238.04109059899722,3514,-1425
JS00084.mat,7.478516666666667,247.47556560557595,2991,-1610
JS00085.mat,-1.2174,260.87881235784556,2167,-2196
JS00086.mat,5.688933333333333,393.1418125022177,2801,-5017
JS00087.mat,26.752366666666667,291.73218245118625,2352,-2455
JS00088.mat,1.9291333333333334,185.80363930212874,2118,-1430
JS00089.mat,5.586783333333333,201.90222576448497,2874,-1098
JS00090.mat,6.386416666666666,207.93994821941516,3235,-1825
JS00091.mat,3.9814166666666666,144.36856665490953,2040,-913
JS00092.mat,-8.35935,270.1667228785048,2342,-2601
JS00093.mat,3.66095,223.65539704740155,2216,-1069
JS00094.mat,-6.630483333333333,177.04715174429208,1152,-1518
JS00095.mat,5.223816666666667,202.6083203032386,2406,-1645
JS00096.mat,2.697216666666667,245.58321686464322,1981,-1527
JS00097.mat,6.913616666666667,202.02281287333133,2050,-1635
JS00099.mat,32.33796666666667,206.43539557255892,2572,-1747
JS00100.mat,2.1874833333333332,188.24534257186744,3255,-1747
JS00101.mat,0.49128333333333335,165.19976813145468,1645,-1196
JS00102.mat,7.006666666666667,234.76628475050575,1513,-1713
JS00103.mat,7.000983333333333,186.41966200582598,2362,-1337
JS00104.mat,2.4378,150.6370928130253,2259,-869
